SFG 05/01-B Clone Version 1.1
Copyright (C) 2017 RBSC
Copyright (C) Yamaha Corporation
--------------------------------

Assembly variant: 

Part     Value                    Device                   Package              Library             Sheet
R21      10k                      R-EU_R0805               R0805                resistor            1
R22      330                      R-EU_R0805               R0805                resistor            1
R23      220                      R-EU_R0805               R0805                resistor            1
R24      4.7k                     R-EU_R0805               R0805                resistor            1
R25      22k                      R-EU_R0805               R0805                resistor            1
R26      22k                      R-EU_R0805               R0805                resistor            1
R27      10k                      R-EU_R0805               R0805                resistor            1
R28      10k                      R-EU_R0805               R0805                resistor            1
R29      220                      R-EU_R0805               R0805                resistor            1
R30      1k                       R-EU_R0805               R0805                resistor            1
R31      220                      R-EU_R0805               R0805                resistor            1
R32      1k                       R-EU_R0805               R0805                resistor            1
R33      1.8k                     R-EU_R0805               R0805                resistor            1
R34      1.8k                     R-EU_R0805               R0805                resistor            1
R35      2.2k                     R-EU_R0805               R0805                resistor            1
R36      2.2k                     R-EU_R0805               R0805                resistor            1
R37      2.2k                     R-EU_R0805               R0805                resistor            1
R38      10k                      R-EU_R0805               R0805                resistor            1
R39      10k                      R-EU_R0805               R0805                resistor            1
R40      10k                      R-EU_R0805               R0805                resistor            1
R41      10k                      R-EU_R0805               R0805                resistor            1
R42      10k                      R-EU_R0805               R0805                resistor            1
R43      10k                      R-EU_R0805               R0805                resistor            1
R44      10k                      R-EU_R0805               R0805                resistor            1
R45      10k                      R-EU_R0805               R0805                resistor            1
R46      10k                      R-EU_R0805               R0805                resistor            1
R47      10k                      R-EU_R0805               R0805                resistor            1
R48      10k                      R-EU_R0805               R0805                resistor            1
R49      10k                      R-EU_R0805               R0805                resistor            1
T1       2SC1815                  2SC1815                  TO92-ECB             transistor          1
T2       BC637                    BC637-NPN-TO92-ECB       TO92-ECB             transistor          1
T3       BC637                    BC637-NPN-TO92-ECB       TO92-ECB             transistor          1
T4       BC637                    BC637-NPN-TO92-ECB       TO92-ECB             transistor          1
T5       BC557A                   BC557A                   TO92-EBC             transistor-pnp      1
T6       BC548A                   BC548A                   TO92-EBC             transistor-npn      1
X1       SFG-60                   SFG-60                   SFG-60               sfg-60              1
X2       SFG-20                   SFG-20                   SFG-20               sfg-20              1
X3       MIDI_CONN_FEMALE_SUPPORT MIDI_CONN_FEMALE_SUPPORT DIN_5_FEMALE_SUPPORT SparkFun-Connectors 1
X4       MIDI_CONN_FEMALE_SUPPORT MIDI_CONN_FEMALE_SUPPORT DIN_5_FEMALE_SUPPORT SparkFun-Connectors 1
X5       RCA                      RCA                      RCA                  rca                 1
X6       RCA                      RCA                      RCA                  rca                 1
X7       JTAG10                   JTAG10                   JTAG10               jtag                1
X8A      AUDIO                    JP1E                     JP1                  jumper              1
X8B      AUDIO                    JP1E                     JP1                  jumper              1
